cf,FIPS,tc_dev,dev_tc,tc_pdev,pdev_tc,tc_net,tc_gain,tc_loss,tc_net verbiage ,WTTC_IMP,WTTC_PDEV,WTTC_loss
henr_51087,51087,458.4951,77.6753,765.0021,108.6089,-1037.213,186.2842,1223.4972,Net Loss,33.6637,63.0317,96.6954
some_24039,24039,57.8264,13.9919,270.2359,59.9228,-254.1476,73.9147,328.0623,Net Loss,6.8458,83.4459,90.2917
virg_51810,51810,465.1298,211.8018,1897.2973,257.2242,-1893.4011,469.026,2362.4271,Net Loss,42.0553,23.9678,66.0231
ches_51550,51550,235.0024,60.1886,249.5387,91.9678,-332.3847,152.1564,484.5411,Net Loss,41.8634,11.411,53.2744
anne_24003,24003,1118.2977,108.0891,964.3011,159.4767,-1815.033,267.5658,2082.5988,Net Loss,37.8758,6.2042,44.08
prin_24033,24033,1156.6489,12.7164,4352.1203,56.2389,-5439.8139,68.9553,5508.7692,Net Loss,13.3384,22.7348,36.0732
acco_51001,51001,29.6723,22.4055,240.1007,36.1581,-211.2094,58.5636,269.773,Net Loss,0.9992,34.0891,35.0883
worc_24047,24047,114.4664,28.8424,380.3093,101.728,-364.2053,130.5704,494.7757,Net Loss,15.6875,13.153,28.8405
prin_51153,51153,553.1593,60.5971,835.1589,128.339,-1199.3821,188.9361,1388.3182,Net Loss,22.2273,5.0694,27.2967
wico_24045,24045,176.6457,23.9539,334.5063,163.2875,-323.9106,187.2414,511.152,Net Loss,5.4484,20.656,26.1044
gree_54025,54025,960.6897,19.7385,959.1161,32.2021,-1867.8652,51.9406,1919.8058,Net Loss,14.0181,11.8157,25.8338
norf_51710,51710,97.6023,42.9468,102.9933,29.7474,-127.9014,72.6942,200.5956,Net Loss,6.8496,16.3605,23.2101
ches_51041,51041,919.6778,69.778,1863.7075,142.2747,-2571.3326,212.0527,2783.3853,Net Loss,10.9046,11.7613,22.6659
cayu_36011,36011,91.0107,41.0716,654.4321,123.8252,-580.546,164.8968,745.4428,Net Loss,3.4474,18.4572,21.9046
isle_51093,51093,58.9607,32.0447,212.4579,23.2888,-216.0851,55.3335,271.4186,Net Loss,17.0511,4.0172,21.0683
king_51101,51101,73.4893,12.0788,317.7865,10.3478,-368.8492,22.4266,391.2758,Net Loss,15.5226,2.8501,18.3727
staf_51179,51179,351.3604,22.7363,1770.8492,72.3263,-2027.147,95.0626,2122.2096,Net Loss,1.2646,16.981,18.2456
loud_51107,51107,1180.9649,114.5032,1354.2427,179.4098,-2241.2946,293.913,2535.2076,Net Loss,9.094,8.7281,17.8221
suff_51800,51800,100.0851,39.8186,266.4052,39.7679,-286.9038,79.5865,366.4903,Net Loss,10.6982,5.0279,15.7261
quee_24035,24035,86.557,12.8651,146.6578,60.5019,-159.8478,73.367,233.2148,Net Loss,7.9392,7.2153,15.1545
hamp_51650,51650,46.9743,36.2364,55.4075,32.8174,-33.328,69.0538,102.3818,Net Loss,8.1741,6.7055,14.8796
suss_10005,10005,759.3817,43.2564,1771.6875,181.6501,-2306.1627,224.9065,2531.0692,Net Loss,7.8567,7.0131,14.8698
powh_51145,51145,210.6351,8.2557,853.5095,18.4554,-1037.4335,26.7111,1064.1446,Net Loss,3.1066,11.5945,14.7011
caro_51033,51033,75.601,16.8129,675.4332,20.5984,-713.6229,37.4113,751.0342,Net Loss,0.9689,13.2951,14.264
hano_51085,51085,245.2196,41.4356,538.2346,81.2087,-660.8099,122.6443,783.4542,Net Loss,4.4135,9.8464,14.2599
onon_36067,36067,376.2036,138.0207,452.2918,325.3813,-365.0934,463.402,828.4954,Net Loss,7.9111,4.2945,12.2056
madi_36053,36053,81.3462,29.3896,126.3081,78.2533,-100.0114,107.6429,207.6543,Net Loss,0.9926,9.5828,10.5754
