,PDF Name,County,co_fips,State,FIPS,T1,T2,pie_classes,TC,AG,TURF,IMP,WT,OT,OT4C,TOT,lu_pct_tc,lu_pct_ag,lu_pct_tg,lu_pct_imp,lu_pct_wt,lu_pct_ot,lu_pct_ot4c,FORE,TCIS,TCTG,TCOT,tc_pct_fore,tc_pct_tcis,tc_pct_tctg,tc_pct_tcot,pdev_tc,dev_tc,tc_gain,tc_pdev,tc_dev,tc_loss,tc_net,tc_net verbiage,GEOID,County Name,BaseCountyName,countycityCamel,ConditionalCounty,countycity,Carbon Sequestration (tons),Carbon Sequestration (tons Custom),Carbon Sequestration ($),,Carbon Sequestration ($Custom),AvoidedRunoff (gall),AvoidedRunoff (Gal Custom),Avoided Runoff ($),Avoided Runoff ($ Millions),Avoided Runoff (rounded$),Avoided Runoff ($Custom),Total Air (lbs),Total Air ($), Total Air (lbs custom) ,Total Air ($Custom),AB mil plus,AB sub mil,AB format if,Annual Benefits ($Custom),map_path,ContactAddress,URL,ContactText,LinkText,base_URL_spacescommas,Download_URL,Download_HTML
0,"Tree Cover Fact Sheet Accomack County, VA 2014-2018.pdf",Accomack,acco_51001,VA,51001,2014,2018,6class,"108,546","71,077","7,881","7,781","57,755","8,073","136,906","261,114",41.6,27.2,3,3,22.1,3.1,52.4,"99,753",906,"3,815","4,073",91.9,0.8,3.5,3.8,36,22,59,240,30,270,-211,Net Loss,51001,Accomack County,Accomack,County,County,county,"128,705","129,000","$24,196,619 ",$24.2  million,$24.2  million,104954877, 105 million gallons ,"$937,877 ",$0.9 million,937900,"$937,900 ",10867936.93,1816658.246,10.9 Million,$1.8 Million,$27.0 Million,"$26,951,000 ",$27.0 Million,$27.0 Million,folder/acco_51001_hexmap.PNG,community@dof.virginia.gov,https://dof.virginia.gov/urban-community-forestry/,Lara Johnson,Virginia Website,"https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree Cover Fact Sheet Accomack County, VA 2014-2018.pdf",https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree%20Cover%20Fact%20Sheet%20Accomack%20County%2C%20VA%202014-2018.pdf,<a href=https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree%20Cover%20Fact%20Sheet%20Accomack%20County%2C%20VA%202014-2018.pdf>Download Fact Sheet</a>
1,"Tree Cover Fact Sheet Adams County, PA 2013-2017.pdf",Adams,adam_42001,PA,42001,2013,2017,6class,"136,208","150,629","19,593","14,762","1,056","9,129","160,815","331,378",41.1,45.5,5.9,4.5,0.3,2.8,48.6,"119,194","1,192","8,679","7,143",87.5,0.9,6.4,5.2,134,12,146,246,190,436,-289,Net Loss,42001,Adams County,Adams,County,County,county,"134,495","135,000","$25,285,079 ",$25.3  million,$25.3  million,210573381, 210.6 million gallons ,"$1,881,684 ",$1.9 million,1881700,$1.9 million,8692922.352,3849028.452,8.7 Million,$3.8 Million,$31.0 Million,"$31,016,000 ",$31.0 Million,$31.0 Million,folder/adam_42001_hexmap.PNG,c-jobrockm@pa.gov,https://www.dcnr.pa.gov/Communities/CommunityTreeManagement/Pages/default.aspx,Ned Brockmeyer,Pennsylvania Website,"https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree Cover Fact Sheet Adams County, PA 2013-2017.pdf",https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree%20Cover%20Fact%20Sheet%20Adams%20County%2C%20PA%202013-2017.pdf,<a href=https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree%20Cover%20Fact%20Sheet%20Adams%20County%2C%20PA%202013-2017.pdf>Download Fact Sheet</a>
2,"Tree Cover Fact Sheet Albemarle County, VA 2014-2018.pdf",Albemarle,albe_51003,VA,51003,2014,2018,6class,"316,965","88,557","13,573","13,113",496,"28,357","117,409","461,060",68.7,19.2,2.9,2.8,0.1,6.2,25.5,"286,540","3,628","14,358","12,439",90.4,1.1,4.5,3.9,16,13,29,1139,318,1456,"-1,427",Net Loss,51003,Albemarle County,Albemarle,County,County,county,"375,832","376,000","$70,656,464 ",$70.7  million,$70.7  million,287918100, 287.9 million gallons ,"$2,572,836 ",$2.6 million,2572900,$2.6 million,20719178.02,3025539.216,20.7 Million,$3.0 Million,$76.3 Million,"$76,255,000 ",$76.3 Million,$76.3 Million,folder/albe_51003_hexmap.PNG,community@dof.virginia.gov,https://dof.virginia.gov/urban-community-forestry/,Lara Johnson,Virginia Website,"https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree Cover Fact Sheet Albemarle County, VA 2014-2018.pdf",https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree%20Cover%20Fact%20Sheet%20Albemarle%20County%2C%20VA%202014-2018.pdf,<a href=https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree%20Cover%20Fact%20Sheet%20Albemarle%20County%2C%20VA%202014-2018.pdf>Download Fact Sheet</a>
3,"Tree Cover Fact Sheet Alexandria, VA 2014-2018.pdf",Alexandria,alex_51510,VA,51510,2014,2018,4class,"2,658",1,"1,501","5,181",30,246,276,"9,616",27.6,0,15.6,53.9,0.3,2.6,2.9,464,376,"1,636",182,17.4,14.1,61.6,6.9,11,15,26,5,3,8,18,Net Gain,51510,Alexandria,Alexandria,City,,city,"3,152","4,000","$592,525 ",$0.6  million,$0.6  million,61748052, 61.7 million gallons ,"$551,781 ",$0.6 million,551800,"$551,800 ",180112.0257,1266147.183,"180,112",$1.3 Million,$2.4 Million,"$2,410,000 ",$2.4 Million,$2.4 Million,folder/alex_51510_hexmap.PNG,community@dof.virginia.gov,https://dof.virginia.gov/urban-community-forestry/,Lara Johnson,Virginia Website,"https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree Cover Fact Sheet Alexandria, VA 2014-2018.pdf",https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree%20Cover%20Fact%20Sheet%20Alexandria%2C%20VA%202014-2018.pdf,<a href=https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree%20Cover%20Fact%20Sheet%20Alexandria%2C%20VA%202014-2018.pdf>Download Fact Sheet</a>
4,"Tree Cover Fact Sheet Allegany County, MD 2013-2018.pdf",Allegany,alle_24001,MD,24001,2013,2018,6class,"222,146","19,522","7,361","7,755",61,"14,356","33,940","271,203",81.9,7.2,2.7,2.9,0,5.3,12.5,"211,462","1,130","6,784","2,771",95.2,0.5,3.1,1.2,30,18,49,99,197,295,-246,Net Loss,24001,Allegany County,Allegany,County,County,county,"290,373","291,000","$54,590,120 ",$54.6  million,$54.6  million,367193306, 367.2 million gallons ,"$3,281,239 ",$3.3 million,3281300,$3.3 million,16335673.06,16116748.23,16.3 Million,$16.1 Million,$74.0 Million,"$73,988,000 ",$74.0 Million,$74.0 Million,folder/alle_24001_hexmap.PNG,,https://dnr.maryland.gov/forests/pages/urban-community.aspx,,Maryland Website,"https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree Cover Fact Sheet Allegany County, MD 2013-2018.pdf",https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree%20Cover%20Fact%20Sheet%20Allegany%20County%2C%20MD%202013-2018.pdf,<a href=https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree%20Cover%20Fact%20Sheet%20Allegany%20County%2C%20MD%202013-2018.pdf>Download Fact Sheet</a>
5,"Tree Cover Fact Sheet Allegany County, NY 2013-2017.pdf",Allegany,alle_36003,NY,36003,2013,2017,6class,"454,098","147,798","17,287","10,704","2,904","24,396","175,097","657,185",69.1,22.5,2.6,1.6,0.4,3.7,26.6,"432,155","1,890","7,595","12,458",95.2,0.4,1.7,2.7,163,25,188,378,33,410,-222,Net Loss,36003,Allegany County,Allegany,County,County,county,"441,037","442,000","$82,914,892 ",$82.9  million,$82.9  million,118377804, 118.4 million gallons ,"$1,057,824 ",$1.1 million,1057900,$1.1 million,24118527.29,3131872.24,24.1 Million,$3.1 Million,$87.1 Million,"$87,105,000 ",$87.1 Million,$87.1 Million,folder/alle_36003_hexmap.PNG,urbanforestry@dec.ny.gov,https://www.dec.ny.gov/lands/4957.html,Gloria VanDuyne,New York Website,"https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree Cover Fact Sheet Allegany County, NY 2013-2017.pdf",https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree%20Cover%20Fact%20Sheet%20Allegany%20County%2C%20NY%202013-2017.pdf,<a href=https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree%20Cover%20Fact%20Sheet%20Allegany%20County%2C%20NY%202013-2017.pdf>Download Fact Sheet</a>
6,"Tree Cover Fact Sheet Alleghany County, VA 2014-2018.pdf",Alleghany,alle_51005,VA,51005,2014,2018,4class,"257,359","12,433","3,731","4,032",56,"8,367","20,857","285,979",90,4.3,1.3,1.4,0,2.9,7.2,"252,483",648,"2,320","1,909",98.1,0.3,0.9,0.7,7,4,10,119,40,158,-148,Net Loss,51005,Alleghany County,Alleghany,County,County,county,"305,156","306,000","$57,369,385 ",$57.4  million,$57.4  million,50431513, 50.4 million gallons ,"$450,656 ",$0.5 million,450700,"$450,700 ",13508713.15,1028798.828,13.5 Million,$1.0 Million,$58.8 Million,"$58,849,000 ",$58.8 Million,$58.8 Million,folder/alle_51005_hexmap.PNG,community@dof.virginia.gov,https://dof.virginia.gov/urban-community-forestry/,Lara Johnson,Virginia Website,"https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree Cover Fact Sheet Alleghany County, VA 2014-2018.pdf",https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree%20Cover%20Fact%20Sheet%20Alleghany%20County%2C%20VA%202014-2018.pdf,<a href=https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree%20Cover%20Fact%20Sheet%20Alleghany%20County%2C%20VA%202014-2018.pdf>Download Fact Sheet</a>
7,"Tree Cover Fact Sheet Amelia County, VA 2014-2018.pdf",Amelia,amel_51007,VA,51007,2014,2018,6class,"147,255","44,702","3,535","3,430",784,"27,516","73,002","227,222",64.8,19.7,1.6,1.5,0.3,12.1,32.1,"141,640",239,"2,491","2,885",96.2,0.2,1.7,2,15,13,28,243,49,292,-264,Net Loss,51007,Amelia County,Amelia,County,County,county,"174,603","175,000","$32,825,420 ",$32.8  million,$32.8  million,34914484, 34.9 million gallons ,"$311,996 ",$0.3 million,312000,"$312,000 ",12247460.39,598369.9765,12.2 Million,"$598,370",$33.7 Million,"$33,736,000 ",$33.7 Million,$33.7 Million,folder/amel_51007_hexmap.PNG,community@dof.virginia.gov,https://dof.virginia.gov/urban-community-forestry/,Lara Johnson,Virginia Website,"https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree Cover Fact Sheet Amelia County, VA 2014-2018.pdf",https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree%20Cover%20Fact%20Sheet%20Amelia%20County%2C%20VA%202014-2018.pdf,<a href=https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree%20Cover%20Fact%20Sheet%20Amelia%20County%2C%20VA%202014-2018.pdf>Download Fact Sheet</a>
8,"Tree Cover Fact Sheet Amherst County, VA 2014-2018.pdf",Amherst,amhe_51009,VA,51009,2014,2018,6class,"237,546","38,960","7,264","5,918",80,"13,640","52,680","303,408",78.3,12.8,2.4,2,0,4.5,17.3,"227,400","1,551","4,821","3,774",95.7,0.7,2,1.6,42,30,72,553,83,636,-563,Net Loss,51009,Amherst County,Amherst,County,County,county,"281,663","282,000","$52,952,592 ",$53.0  million,$53.0  million,178078284, 178.1 million gallons ,"$1,591,308 ",$1.6 million,1591400,$1.6 million,15233250.17,1592313.892,15.2 Million,$1.6 Million,$56.1 Million,"$56,136,000 ",$56.1 Million,$56.1 Million,folder/amhe_51009_hexmap.PNG,community@dof.virginia.gov,https://dof.virginia.gov/urban-community-forestry/,Lara Johnson,Virginia Website,"https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree Cover Fact Sheet Amherst County, VA 2014-2018.pdf",https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree%20Cover%20Fact%20Sheet%20Amherst%20County%2C%20VA%202014-2018.pdf,<a href=https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree%20Cover%20Fact%20Sheet%20Amherst%20County%2C%20VA%202014-2018.pdf>Download Fact Sheet</a>
9,"Tree Cover Fact Sheet Anne Arundel County, MD 2013-2018.pdf",Anne Arundel,anne_24003,MD,24003,2013,2018,6class,"157,081","22,072","27,077","39,250","3,021","15,412","40,505","263,914",59.5,8.4,10.3,14.9,1.1,5.8,15.3,"105,510","7,937","38,594","5,040",67.2,5.1,24.6,3.2,159,108,268,964,1118,2083,"-1,815",Net Loss,24003,Anne Arundel County,Anne Arundel,County,County,county,"205,325","206,000","$38,601,124 ",$38.6  million,$38.6  million,1252159265, 1.3 billion gallons ,"$11,189,295 ",$11.2 million,11189300,$11.2 million,12817047.24,19987508.21,12.8 Million,$20.0 Million,$69.8 Million,"$69,778,000 ",$69.8 Million,$69.8 Million,folder/anne_24003_hexmap.PNG,,https://dnr.maryland.gov/forests/pages/urban-community.aspx,,Maryland Website,"https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree Cover Fact Sheet Anne Arundel County, MD 2013-2018.pdf",https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree%20Cover%20Fact%20Sheet%20Anne%20Arundel%20County%2C%20MD%202013-2018.pdf,<a href=https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree%20Cover%20Fact%20Sheet%20Anne%20Arundel%20County%2C%20MD%202013-2018.pdf>Download Fact Sheet</a>
